id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
209265,209265,63161,63692,110562,45502,136295,115773,6965,62917,50236,63441,79481,32294,16135,16120,61295,18202,70484,81991,94952,35152,47450,69237,33761,59599,8361,90234,9929,42029,136368
1416,1416,79897,12288,3172,2167,196454,20464,18856,95665,1021,39269,33056,14328,87187,66585,96102,45811,76773,2625,60804,750,19033,70573,12412,90872,210078,85792,71789,39881,34415
72879,72879,4385,100060,155421,66390,5146,63770,16484,47699,35046,43982,21327,226924,13210,2153,90282,88384,65438,194,43236,46648,62505,3828,83275,76582,2072,111485,68327,120822,94801
94722,94722,637,46011,42265,10478,651,48552,12301,278,203599,14520,40753,2092,60694,2224,41060,3508,2035,5859,14210,36846,61313,41091,40696,40767,25247,5500,10728,209415,32643
101463,101463,10478,60694,637,841,9237,46056,94722,6507,2092,14426,49525,651,48552,5675,77285,22073,32415,61313,114863,209415,13354,2224,42265,77085,3508,4496,12301,1655,224
226773,226773,226772,66788,61406,127527,82501,228051,218194,106454,25181,14753,13210,4184,69786,70523,123192,108291,158083,208336,43982,231681,233629,87954,38207,46648,133086,236726,35868,87302,129478
213026,213026,59674,219224,73362,168,2263,94642,2927,98827,61517,201874,33739,40811,97,61407,71250,65942,71740,46101,62595,32697,2,65693,103157,46100,106514,223618,96734,61662,236505
91759,91759,586,4568,204653,88324,81500,102904,1604,133357,226197,14264,37759,222576,4184,82946,1625,233194,232,82063,64164,61864,68106,39068,65255,71250,31120,65798,80915,82501,107329
218145,218145,12875,32294,39571,82462,2430,43424,140,171,35094,55497,123594,9895,89611,4731,107113,38148,17635,66990,82946,41909,204412,61018,19156,116479,87,210020,35868,76063,61352
219109,219109,100127,66888,68595,39336,196526,60632,31586,11599,231503,204154,139434,88850,4500,78903,19614,88062,326,128020,93392,115479,1027,112601,44856,73451,2215,46759,13549,12719,99657
238766,238766,911,62767,94537,79792,158900,204082,133723,129236,152386,15903,51025,33982,238046,116990,39148,130385,91914,203552,4591,233816,2472,100054,9290,4656,14808,1636,3626,157742,133727
60625,60625,97645,56590,131033,128118,67111,58111,34102,129473,2004,137430,208493,71771,235885,204358,1528,44314,4568,68665,87104,18347,54866,61852,67395,580,34573,83981,12033,57243,30901
235484,235484,4275,14509,3091,12415,20918,206559,5080,5243,13945,879,66437,231962,10214,17892,2674,236221,14686,93768,128384,39921,153485,25778,12719,1204,11890,12173,93,3295,1949
549,549,6974,4040,32632,2734,80748,116500,11105,58841,67993,99308,60791,58818,2420,40395,14287,4601,79618,36,3357,4177,3716,400,7098,764,45194,38148,62933,153312,204654
84958,84958,61753,28511,72304,232914,108545,88396,120494,70590,1528,42009,127235,84574,99479,42361,62643,194567,112388,1300,37565,99778,3534,121,91278,72499,3868,55011,61752,58111,61132
232937,232937,4162,62767,46154,638,51018,158916,2023,131026,109470,130385,33149,208730,49525,211746,8974,217980,79085,72896,65335,231677,93097,133670,64480,4239,69017,94952,95657,195530,98971
206559,206559,14509,5080,231962,12415,45418,3097,12288,1028,33056,18856,124394,4275,20918,4504,12719,31205,235484,6467,236221,1021,87187,45811,5243,13945,4897,54864,10214,96102,239479
229947,229947,87302,215471,46542,158916,94952,116386,134029,126485,67335,207228,8974,95558,202250,110356,33025,129231,223528,156935,91505,128296,40044,201420,135652,135238,204276,136283,234729,119191,95202
95557,95557,230148,6046,129600,1432,221871,196749,63054,72442,6137,104699,90670,88041,218563,20653,235228,95396,110356,86542,136735,209860,1750,56425,43231,6263,128118,116249,80986,42692,3575
36361,36361,74402,214080,20918,966,2674,13945,87615,41280,225929,35576,14750,5080,219476,66437,5243,14509,30826,216223,204241,12415,17892,21756,95314,59674,39921,12173,12217,1509,84327
456,456,73021,32694,40500,66738,231,1667,90788,73048,132876,9894,77076,750,3295,12511,83631,615,14009,79746,1759,22980,60694,14781,127162,33428,9687,72743,67242,1068,33922
233643,233643,63322,10020,75117,45998,100548,4040,42569,86942,87508,62760,95594,66282,7098,38239,18797,18828,239577,6550,65163,50035,35415,72636,17610,76645,97084,97517,7677,197429,127948
204082,204082,55089,114198,203552,45782,229610,139171,133723,215344,214582,217388,238766,4335,11366,2370,4551,94722,94853,60846,62767,94904,74163,90266,3752,30957,107703,4591,122530,92661,78154
230525,230525,5911,215103,127588,65335,111368,31936,80018,72027,44632,55777,84383,94607,34664,134155,64770,21327,23931,1809,134581,80550,82653,77285,91169,64199,203178,67265,31072,78058,1088
1434,1434,15632,54552,74323,233587,71738,107304,114547,4515,1906,76705,46261,64783,4568,77606,74280,8379,87093,670,33428,105556,46262,98201,2004,4239,1883,62543,1433,13488,252
33982,33982,64203,51025,13700,69020,58141,37757,152386,11436,30745,208960,39148,4594,34131,4593,116990,100128,91914,40905,2472,38206,22021,10160,153246,320,32390,16395,32718,31783,39361
217216,217216,16135,94904,198050,102966,207717,111453,83275,220992,102316,95314,46434,21327,46101,16120,129141,116912,34268,33761,90802,83964,102085,61173,68344,217980,233045,80915,62767,153516,98830
95479,95479,117992,46958,209502,123249,36941,117706,93693,1719,117889,65249,67676,36983,65693,67915,215001,2291,60833,213331,53296,64552,84141,114655,82684,74660,95100,92649,92090,10826,39272
1399,1399,108545,7389,15571,72304,72312,1941,4613,42154,44919,3097,62425,88463,127571,203805,32676,217710,4414,93786,69090,65954,34806,61132,69459,15907,96659,83015,3266,72699,77184
60622,60622,341,4531,67195,60791,105315,61335,93749,2327,83251,70128,126822,4340,81496,23931,99308,37796,232139,90705,2224,128883,9855,217728,46923,66330,75944,4662,125714,75658,75191
1622,1622,128113,205715,93653,76479,13648,4531,1410,76791,94924,43951,205040,120241,33852,66786,84661,94801,205568,11693,211051,75006,219064,443,32022,12875,81829,89572,87313,116386,81927
216578,216578,43249,127588,221166,208834,123856,73107,81723,210235,1639,121183,83941,202250,72690,210865,100350,104359,236809,207228,85232,110492,12965,76662,225660,225152,31295,321,215471,81496,113710
57243,57243,121,152471,203946,1056,35868,36409,197188,18779,108952,44318,203,454,95499,121191,46262,2046,79070,65917,62776,68002,1950,154359,232510,63201,209609,196220,5917,2622,56387
202411,202411,117465,73544,99356,104711,212818,11100,90670,77396,40044,31505,44305,13989,57774,81349,207228,70875,4552,85322,3437,59427,119769,2822,119495,61175,123084,61915,114503,156883,218194
119051,119051,64122,4604,47450,21728,97175,88640,2751,5273,69714,117465,81822,210107,128384,14009,37584,82658,72752,2404,75867,36983,21506,94517,1068,17149,19614,114547,101571,93653,35016
37680,37680,416,61949,2359,2874,41889,130077,85950,65,40302,60439,62511,223489,36243,80592,106099,8627,1839,10710,10536,39758,61056,10042,3745,88236,95755,1027,205272,1926,10382
2734,2734,4040,58818,67993,58841,549,12512,118085,7098,62933,80748,60791,121658,2593,3114,106158,61969,4601,80588,14287,71971,127948,3357,17610,65438,7460,2171,1798,70391,39483
764,764,21506,130766,13210,13955,16343,10846,1180,11105,3163,549,3716,61173,92926,61335,62247,14589,1104,90669,69187,99962,76386,79013,74561,1850,17450,41132,1220,2343,79146
1433,1433,96658,83216,3051,1566,120734,88,4498,111141,44856,18156,895,42004,88071,48552,64513,15632,89852,30773,125438,80056,1475,127948,64383,89901,92926,10136,11694,2,198102
4057,4057,32200,62933,4860,67744,1431,40395,118085,61811,43657,2774,39351,15226,2593,47318,121658,578,64481,21510,37971,80748,2734,62710,81947,46952,62650,72597,134865,484,45094
213331,213331,213402,98545,39218,95,83104,61175,209077,206324,96402,124003,3251,46184,53052,117884,63146,85232,29904,95479,113808,117992,116386,220076,65439,204832,85940,31572,103944,34105,93833
12409,12409,66627,79268,16484,114473,21939,4593,35576,76880,6833,10150,77285,14781,905,10108,30243,115626,85213,11366,12788,39614,91914,1887,11801,77085,3626,118577,31342,77988,64564
1668,1668,9787,1088,62320,76662,61175,75439,31841,1400,1850,195241,138089,119335,40314,65,98494,4599,77722,15280,1085,94607,105,62327,4040,68898,62323,62856,217325,128839,9777
1419,1419,91875,8066,69714,46316,1719,40971,95272,32200,95205,47510,67743,484,235885,132016,26051,61700,114705,72734,70390,39276,194,79928,2593,2359,129475,4170,1259,84661,4040
14424,14424,14509,4275,5080,1949,5243,5576,20918,1526,86943,13945,39921,6467,46154,17892,158415,206559,66437,110529,25778,12719,966,45816,13840,104108,3091,67230,12387,11890,40811
73586,73586,118357,157744,10838,1018,44169,115773,13884,554,101359,3690,14929,365,97970,3534,3670,4123,110533,3713,65332,60791,10762,97951,10160,204999,98198,156819,13294,10180,13718
