name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
The One Show,"A topical magazine-style daily television programme broadcast live on BBC One and BBC One HD. The programme is currently hosted by Alex Jones and Matt Baker from Monday-Thursday, with Chris Evans appearing instead of Baker on Fridays and relief presenters appearing when required.",1514,https://image.tmdb.org/t/p/w500/qCOlMsNSMDF5ZSvyzLJnFCqehkZ.jpg,5.2,20,False,[],[],[],[],2006,News,"['topical', 'magazine', 'style', 'daily', 'television', 'programme', 'broadcast', 'live', 'BBC', 'BBC', 'HD', 'programme', 'currently', 'hosted', 'Alex', 'Jones', 'Matt', 'Baker', 'Monday', 'Thursday', 'Chris', 'Evans', 'appearing', 'instead', 'Baker', 'Fridays', 'relief', 'presenters', 'appearing', 'required']",News  topical magazine style daily television programme broadcast live BBC BBC HD programme currently hosted Alex Jones Matt Baker Monday Thursday Chris Evans appearing instead Baker Fridays relief presenters appearing required 5.2    ,,
Nightline,"Nightline, or ABC News Nightline, is a late-night news program that is broadcast by ABC in the United States, and has a franchised formula to other networks and stations elsewhere in the world. Created by Roone Arledge, the program featured Ted Koppel as its main anchor from March 1980 until his retirement from the program in November 2005. Nightline airs weeknights at 12:37 a.m. Eastern Time, after Jimmy Kimmel Live!. It previously ran for 31 minutes, but in 2011, the program was reduced to 25 minutes. When the program moved to 12:37 a.m. ET, the program was expanded to 30 minutes.

In 2002, Nightline was ranked 23rd on TV Guide's 50 Greatest TV Shows of All Time.",278,https://image.tmdb.org/t/p/w500/sdQo5ytP06WW5No3b33PTVS1yHC.jpg,5.1,5,False,[],[],['Roone Arledge'],[],1980,News Documentary,"['Nightline', 'ABC', 'News', 'Nightline', 'late', 'night', 'news', 'program', 'broadcast', 'ABC', 'United', 'States', 'franchised', 'formula', 'networks', 'stations', 'world', 'Created', 'Roone', 'Arledge', 'program', 'featured', 'Ted', 'Koppel', 'main', 'anchor', 'March', 'retirement', 'program', 'November', 'Nightline', 'airs', 'weeknights', 'Eastern', 'Time', 'Jimmy', 'Kimmel', 'Live', 'previously', 'ran', 'minutes', 'program', 'reduced', 'minutes', 'program', 'moved', 'ET', 'program', 'expanded', 'minutes', 'Nightline', 'ranked', 'TV', 'Guide', 'Greatest', 'TV', 'Shows', 'Time']",News Documentary  Nightline ABC News Nightline late night news program broadcast ABC United States franchised formula networks stations world Created Roone Arledge program featured Ted Koppel main anchor March retirement program November Nightline airs weeknights Eastern Time Jimmy Kimmel Live previously ran minutes program reduced minutes program moved ET program expanded minutes Nightline ranked TV Guide Greatest TV Shows Time 5.1  Roone Arledge  ,,
Anderson Cooper 360°,"Anderson Cooper goes beyond the headlines to tell stories from many points of view, so you can make up your own mind about the news.",3508,https://image.tmdb.org/t/p/w500/iJWL5hPb0YBZEdH3nPQBHPEkLvx.jpg,5.0,6,False,[],[],[],[],2003,News,"['Anderson', 'Cooper', 'goes', 'headlines', 'tell', 'stories', 'points', 'view', 'mind', 'news']",News  Anderson Cooper goes headlines tell stories points view mind news 5.0    ,,
Question Time,This topical debate series based on Any Questions? typically features politicians from at least the three major political parties as well as other public figures who answer pre-selected questions put to them by a carefully selected audience.,13354,https://image.tmdb.org/t/p/w500/nLGgjwQNnCKuDdJMDmp02pxB0u9.jpg,4.9,10,False,[],[],[],[],1979,News Talk,"['topical', 'debate', 'series', 'based', 'Questions', 'typically', 'features', 'politicians', 'major', 'political', 'parties', 'public', 'figures', 'answer', 'pre', 'selected', 'questions', 'carefully', 'selected', 'audience']",News Talk  topical debate series based Questions typically features politicians major political parties public figures answer pre selected questions carefully selected audience 4.9    ,,
Parlamentet,"Parlamentet is a satirical panel gameshow on on TV4, which parodies Swedish political debate. It was first broadcast in 1999 and is currently in its 23rd series. The current presenter is Anders S. Nilsson, who has hosted the show since 2004. Current team members include Babben Larsson, Robin Paulsson, Johan Rheborg and Johan Glans. Kodjo Akolor has also been featured. The program is a Swedish version of the short-run British show If I Ruled the World, which itself was as spin-off from Have I Got News For You - both produced by Hat Trick Productions. The comedians are divided into two teams, red and blue, representing traditional political colours. At the end of the show, the audience vote for the winners based on which team was funniest.",14426,https://image.tmdb.org/t/p/w500/zDYqsr3Z934ev5Gc2H9ekaTimgy.jpg,4.8,12,False,[],[],[],[],1999,News Comedy,"['Parlamentet', 'satirical', 'panel', 'gameshow', 'parodies', 'Swedish', 'political', 'debate', 'broadcast', 'currently', 'series', 'current', 'presenter', 'Anders', 'Nilsson', 'hosted', 'Current', 'team', 'members', 'include', 'Babben', 'Larsson', 'Robin', 'Paulsson', 'Johan', 'Rheborg', 'Johan', 'Glans', 'Kodjo', 'Akolor', 'featured', 'program', 'Swedish', 'version', 'short', 'run', 'British', 'Ruled', 'World', 'spin', 'Got', 'News', 'produced', 'Hat', 'Trick', 'Productions', 'comedians', 'divided', 'teams', 'red', 'blue', 'representing', 'traditional', 'political', 'colours', 'end', 'audience', 'vote', 'winners', 'based', 'team', 'funniest']",News Comedy  Parlamentet satirical panel gameshow parodies Swedish political debate broadcast currently series current presenter Anders Nilsson hosted Current team members include Babben Larsson Robin Paulsson Johan Rheborg Johan Glans Kodjo Akolor featured program Swedish version short run British Ruled World spin Got News produced Hat Trick Productions comedians divided teams red blue representing traditional political colours end audience vote winners based team funniest 4.8    ,,
Australian Story,"Putting the ""real"" back into reality television, Australian Story is an award-winning documentary series with no narrator and no agendas — just authentic stories told entirely in people's own words.",12317,https://image.tmdb.org/t/p/w500/AdVz2lrwXb4SOV8V3yV8JSAuqWI.jpg,4.8,5,False,[],[],[],[],1996,Documentary News,"['Putting', 'real', 'reality', 'television', 'Australian', 'Story', 'award', 'winning', 'documentary', 'series', 'narrator', 'agendas', 'authentic', 'stories', 'told', 'entirely', 'people', 'words']",Documentary News  Putting real reality television Australian Story award winning documentary series narrator agendas authentic stories told entirely people words 4.8    ,,
Q&A,"Hosted by Hamish Macdonald, Q&A puts punters, pollies and pundits together in the studio to thrash out the hot issues of the week. It's about democracy in action - the audience gets to ask the questions.",7562,https://image.tmdb.org/t/p/w500/fkO0LWXU6R21J3GUIbzCZclZObp.jpg,4.7,3,False,[],[],[],[],2008,News Talk,"['Hosted', 'Hamish', 'Macdonald', 'puts', 'punters', 'pollies', 'pundits', 'studio', 'thrash', 'hot', 'issues', 'week', 'democracy', 'action', 'audience', 'gets', 'ask', 'questions']",News Talk  Hosted Hamish Macdonald puts punters pollies pundits studio thrash hot issues week democracy action audience gets ask questions 4.7    ,,
CBS Evening News,"The CBS Evening News is the flagship daily evening television news program of CBS News, the news division of the CBS television network in the United States. The network has broadcast the program since 1948, and has used the CBS Evening News title since 1963.",637,https://image.tmdb.org/t/p/w500/fGRTma73KHZzb1qcB2sOFzdBTSO.jpg,4.6,7,False,[],[],[],[],1941,News,"['CBS', 'Evening', 'News', 'flagship', 'daily', 'evening', 'television', 'news', 'program', 'CBS', 'News', 'news', 'division', 'CBS', 'television', 'network', 'United', 'States', 'network', 'broadcast', 'program', 'CBS', 'Evening', 'News', 'title']",News  CBS Evening News flagship daily evening television news program CBS News news division CBS television network United States network broadcast program CBS Evening News title 4.6    ,,
The ReidOut,"Joy Reid conducts one-on-one conversations with politicians and newsmakers while addressing provocative political issues both inside and outside of the beltway. Reid, who is also a best-selling author and public speaker, joined MSNBC in 2011 as a contributor. Drawing from her decades-long experience in politics, passion for addressing the intersection of race, justice and culture, as well as her signature tenacious interviewing style, Reid kicks off MSNBC’s primetime lineup by delving into American politics as they unfold.",107130,https://image.tmdb.org/t/p/w500/zAwQNKY6JAfsOCnYqD6ToexHMkZ.jpg,4.0,5,False,[],[],[],[],2020,News,"['Joy', 'Reid', 'conducts', 'conversations', 'politicians', 'newsmakers', 'addressing', 'provocative', 'political', 'issues', 'inside', 'outside', 'beltway', 'Reid', 'best', 'selling', 'author', 'public', 'speaker', 'joined', 'MSNBC', 'contributor', 'Drawing', 'decades', 'long', 'experience', 'politics', 'passion', 'addressing', 'intersection', 'race', 'justice', 'culture', 'signature', 'tenacious', 'interviewing', 'style', 'Reid', 'kicks', 'MSNBC', 'primetime', 'lineup', 'delving', 'American', 'politics', 'unfold']",News  Joy Reid conducts conversations politicians newsmakers addressing provocative political issues inside outside beltway Reid best selling author public speaker joined MSNBC contributor Drawing decades long experience politics passion addressing intersection race justice culture signature tenacious interviewing style Reid kicks MSNBC primetime lineup delving American politics unfold 4.0    ,,
Al rojo vivo,"""Al rojo vivo"" is a program on laSexta focused on the analysis and debate of national and international political current affairs. The format is hosted and directed by Antonio García Ferreras and produced by the News Services of laSexta.",101463,https://image.tmdb.org/t/p/w500/ag6PmoBxkF2s1uY3An618NCEt3g.jpg,3.432,22,False,[],[],['Antonio García Ferreras'],[],2011,News Talk,"['Al', 'rojo', 'vivo', 'program', 'laSexta', 'focused', 'analysis', 'debate', 'national', 'international', 'political', 'current', 'affairs', 'format', 'hosted', 'directed', 'Antonio', 'García', 'Ferreras', 'produced', 'News', 'Services', 'laSexta']",News Talk  Al rojo vivo program laSexta focused analysis debate national international political current affairs format hosted directed Antonio García Ferreras produced News Services laSexta 3.432  Antonio García Ferreras  ,,
Taff,"Taff is a tabloid news magazine airing on the German television network, ProSieben.",42265,https://image.tmdb.org/t/p/w500/2XJlnWPmoNLuaa85ol8Xe3GXYVm.jpg,3.0,3,False,[],[],['Steffen Müller'],[],1997,News Talk,"['Taff', 'tabloid', 'news', 'magazine', 'airing', 'German', 'television', 'network', 'ProSieben']",News Talk  Taff tabloid news magazine airing German television network ProSieben 3.0  Steffen Müller  ,,
MotorWeek,"This award-winning weekly automotive magazine provides unbiased, consumer-oriented car news with feature stories on related topics.",5467,https://image.tmdb.org/t/p/w500/7fcKYElBFrNe3INyI3DiHIqo0e6.jpg,3.0,4,False,[],[],[],[],1981,News Documentary,"['award', 'winning', 'weekly', 'automotive', 'magazine', 'provides', 'unbiased', 'consumer', 'oriented', 'car', 'news', 'feature', 'stories', 'related', 'topics']",News Documentary  award winning weekly automotive magazine provides unbiased consumer oriented car news feature stories related topics 3.0    ,,
Meet the Press,"Meet the Press is a weekly American television news/interview program airing on NBC. It is the longest-running television series in American broadcasting history, despite bearing little resemblance to the original format of the program seen in its television debut on November 6, 1947. Meet the Press is the highest-rated of the American television Sunday morning talk shows.

It has been hosted by 11 moderators, beginning with Martha Rountree. The current host is David Gregory, who assumed the role in December 2008. The show began using a new set on May 2, 2010, with video screens and a library-style set with bookshelves, and different, modified intro music, with David Gregory previewing the guests using a large video screen, and with the Meet the Press theme music in a shorter ""modernized [style]... the beginning repeated with drum beats"". Meet the Press and similar shows specialize in interviewing national leaders on issues of politics, economics, foreign policy and other public affairs.

Over the past few years, the program's usual time slot over the NBC network is between 9-10 a.m. local time in most markets, though this may vary by markets due to commitments by affiliates to religious, E/I or local news and public affairs programming. It also varies several weeks in the summer due to morning coverage of French Open tennis or the Monaco Grand Prix by NBC Sports. In earlier years, the program would air at noon every Sunday. The program also re-airs Sunday afternoons at 2 p.m. ET and early Monday mornings at 4 a.m. ET on MSNBC, along with an early Monday morning replay as part of NBC's ""All Night"" lineup. The program is also distributed to radio stations via syndication by Dial Global, and aired as part of C-SPAN Radio's replay of the Sunday morning talk shows.",4496,https://image.tmdb.org/t/p/w500/jwzlIbqXhRsEwM1VuzLVOSrdJ8z.jpg,3.0,9,False,[],[],"['Martha Rountree', 'Lawrence E. Spivak']",[],1947,News,"['Meet', 'Press', 'weekly', 'American', 'television', 'news', 'interview', 'program', 'airing', 'NBC', 'longest', 'running', 'television', 'series', 'American', 'broadcasting', 'history', 'despite', 'bearing', 'little', 'resemblance', 'original', 'format', 'program', 'seen', 'television', 'debut', 'November', 'Meet', 'Press', 'highest', 'rated', 'American', 'television', 'Sunday', 'morning', 'talk', 'shows', 'hosted', 'moderators', 'beginning', 'Martha', 'Rountree', 'current', 'host', 'David', 'Gregory', 'assumed', 'role', 'December', 'began', 'new', 'set', 'video', 'screens', 'library', 'style', 'set', 'bookshelves', 'different', 'modified', 'intro', 'music', 'David', 'Gregory', 'previewing', 'guests', 'large', 'video', 'screen', 'Meet', 'Press', 'theme', 'music', 'shorter', 'modernized', 'style', 'beginning', 'repeated', 'drum', 'beats', 'Meet', 'Press', 'similar', 'shows', 'specialize', 'interviewing', 'national', 'leaders', 'issues', 'politics', 'economics', 'foreign', 'policy', 'public', 'affairs', 'past', 'years', 'program', 'usual', 'time', 'slot', 'NBC', 'network', 'local', 'time', 'markets', 'vary', 'markets', 'commitments', 'affiliates', 'religious', 'E', 'local', 'news', 'public', 'affairs', 'programming', 'varies', 'weeks', 'summer', 'morning', 'coverage', 'French', 'Open', 'tennis', 'Monaco', 'Grand', 'Prix', 'NBC', 'Sports', 'earlier', 'years', 'program', 'air', 'noon', 'Sunday', 'program', 'airs', 'Sunday', 'afternoons', 'ET', 'early', 'Monday', 'mornings', 'ET', 'MSNBC', 'early', 'Monday', 'morning', 'replay', 'NBC', 'Night', 'lineup', 'program', 'distributed', 'radio', 'stations', 'syndication', 'Dial', 'Global', 'aired', 'C', 'SPAN', 'Radio', 'replay', 'Sunday', 'morning', 'talk', 'shows']",News  Meet Press weekly American television news interview program airing NBC longest running television series American broadcasting history despite bearing little resemblance original format program seen television debut November Meet Press highest rated American television Sunday morning talk shows hosted moderators beginning Martha Rountree current host David Gregory assumed role December began new set video screens library style set bookshelves different modified intro music David Gregory previewing guests large video screen Meet Press theme music shorter modernized style beginning repeated drum beats Meet Press similar shows specialize interviewing national leaders issues politics economics foreign policy public affairs past years program usual time slot NBC network local time markets vary markets commitments affiliates religious E local news public affairs programming varies weeks summer morning coverage French Open tennis Monaco Grand Prix NBC Sports earlier years program air noon Sunday program airs Sunday afternoons ET early Monday mornings ET MSNBC early Monday morning replay NBC Night lineup program distributed radio stations syndication Dial Global aired C SPAN Radio replay Sunday morning talk shows 3.0  Martha Rountree Lawrence E. Spivak  ,,
Sunday with Laura Kuenssberg,"The big names behind the big stories. Laura Kuenssberg talks to those making the news, inside and outside politics.",209415,https://image.tmdb.org/t/p/w500/le6vaFe9E0en3znFhy8eFhP3DQV.jpg,2.7,5,False,[],[],[],[],2022,News Talk,"['big', 'names', 'big', 'stories', 'Laura', 'Kuenssberg', 'talks', 'making', 'news', 'inside', 'outside', 'politics']",News Talk  big names big stories Laura Kuenssberg talks making news inside outside politics 2.7    ,,
Good Day Live,"Good Day Live was a nationwide talk show seen weekdays on FOX affiliates throughout the US.  Each FOX owned and operated station airs a separate Good Day program as part of its newscast. Some FOX stations air up to five hours on weekday mornings, up to three on weekend mornings, (and almost 50% of the programming on these stations contains a locally produced newscast of local news, traffic, national news, weather, sports, business, and public affairs.)",22073,https://image.tmdb.org/t/p/w500/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg,2.3,3,False,[],[],['Steve Edwards'],[],2001,News,"['Good', 'Day', 'Live', 'nationwide', 'talk', 'seen', 'weekdays', 'FOX', 'affiliates', 'FOX', 'owned', 'operated', 'station', 'airs', 'separate', 'Good', 'Day', 'program', 'newscast', 'FOX', 'stations', 'air', 'hours', 'weekday', 'mornings', 'weekend', 'mornings', 'programming', 'stations', 'contains', 'locally', 'produced', 'newscast', 'local', 'news', 'traffic', 'national', 'news', 'weather', 'sports', 'business', 'public', 'affairs']",News  Good Day Live nationwide talk seen weekdays FOX affiliates FOX owned operated station airs separate Good Day program newscast FOX stations air hours weekday mornings weekend mornings programming stations contains locally produced newscast local news traffic national news weather sports business public affairs 2.3  Steve Edwards  ,,
Entrée principale,"In this off-the-wall lifestyle magazine, host André Robitaille and his band of contributors report on the latest and greatest the scene has to offer.",85791,https://image.tmdb.org/t/p/w500/9nUl4I9tcElZc9qmPcUv5X93AEm.jpg,0.0,0,False,[],[],[],[],2013,News,"['wall', 'lifestyle', 'magazine', 'host', 'André', 'Robitaille', 'band', 'contributors', 'report', 'latest', 'greatest', 'scene', 'offer']",News  wall lifestyle magazine host André Robitaille band contributors report latest greatest scene offer 0.0    ,,
CrimeDoor TV,"CrimeDoor TV is a daily True Crime program that features expert analysis of active, resolved and cold cases from around the world. Episodes feature friends and family members sharing information about their loved ones.",218008,https://image.tmdb.org/t/p/w500/8DEd4pVzfv7OTMoBe0b7uI4ZdjE.jpg,0.0,0,False,[],[],[],[],2022,News Mystery,"['CrimeDoor', 'TV', 'daily', 'True', 'Crime', 'program', 'features', 'expert', 'analysis', 'active', 'resolved', 'cold', 'cases', 'world', 'Episodes', 'feature', 'friends', 'family', 'members', 'sharing', 'information', 'loved', 'ones']",News Mystery  CrimeDoor TV daily True Crime program features expert analysis active resolved cold cases world Episodes feature friends family members sharing information loved ones 0.0    ,,
Télématin,"Télématin is a French breakfast television news show, broadcast on France 2 since January 7, 1985. It is broadcast in Metropolitan France weekdays from 6:30 to 9:00 am CET. TV5 broadcast the show in Canada in its entirety until September 2011: it now shows a 90 minute version between 6:30 and 8:00 am Eastern Time, when the French original version is now 2h30 long.

Télématin is hosted by William Leymergie. The show is daily seen by around 40% of the French morning audience, a very high percentage for French TV.

In Metropolitan France, the newscasts are presented at 7:00, 7:30 and 8:00, with newsflashes at 6:30 and 8:50, and two press reviews at 7:20 and 8:30. The 6:30, 7:30 and 8:50 newscasts are usually presented by a female reader and the hourly newscasts by a male. The usual readers are Nathanaël de Rinquesen, Sophie Le Saint, Julien Benedetto, Sophie Gastrain, Patrice Romedenne and Frédéric Vion.",16484,https://image.tmdb.org/t/p/w500/h9uldLES7EfDXLobIzLgBt5u6sn.jpg,0.0,0,False,[],[],"['William Leymergie', 'Paul Nahon']",[],1985,News,"['Télématin', 'French', 'breakfast', 'television', 'news', 'broadcast', 'France', 'January', 'broadcast', 'Metropolitan', 'France', 'weekdays', 'CET', 'broadcast', 'Canada', 'entirety', 'September', 'shows', 'minute', 'version', 'Eastern', 'Time', 'French', 'original', 'version', 'long', 'Télématin', 'hosted', 'William', 'Leymergie', 'daily', 'seen', 'French', 'morning', 'audience', 'high', 'percentage', 'French', 'TV', 'Metropolitan', 'France', 'newscasts', 'presented', 'newsflashes', 'press', 'reviews', 'newscasts', 'usually', 'presented', 'female', 'reader', 'hourly', 'newscasts', 'male', 'usual', 'readers', 'Nathanaël', 'de', 'Rinquesen', 'Sophie', 'Le', 'Saint', 'Julien', 'Benedetto', 'Sophie', 'Gastrain', 'Patrice', 'Romedenne', 'Frédéric', 'Vion']",News  Télématin French breakfast television news broadcast France January broadcast Metropolitan France weekdays CET broadcast Canada entirety September shows minute version Eastern Time French original version long Télématin hosted William Leymergie daily seen French morning audience high percentage French TV Metropolitan France newscasts presented newsflashes press reviews newscasts usually presented female reader hourly newscasts male usual readers Nathanaël de Rinquesen Sophie Le Saint Julien Benedetto Sophie Gastrain Patrice Romedenne Frédéric Vion 0.0  William Leymergie Paul Nahon  ,,
