name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
The Night Beyond the Tricornered Window,"Shy bookstore clerk Kosuke Mikado has the ability to see ghosts and spirits, an ability he wishes he didn't have, since what he sees usually terrifies him. Rihito Hiyakawa, an exorcist whose supernatural powers are as strong as his social graces are weak, doesn't seem to fear anything, mortal or otherwise. When this odd couple gets together to solve the bizarre cases that come their way, their work methods may not be entirely safe for work!",114307,https://image.tmdb.org/t/p/w500/yY4Vb61W30ToltsgVJdCIszg5tJ.jpg,7.6,5,False,[],[],['Tomoko Yamashita'],[],2021,Animation Comedy Drama Mystery,"['Shy', 'bookstore', 'clerk', 'Kosuke', 'Mikado', 'ability', 'ghosts', 'spirits', 'ability', 'wishes', 'sees', 'usually', 'terrifies', 'Rihito', 'Hiyakawa', 'exorcist', 'supernatural', 'powers', 'strong', 'social', 'graces', 'weak', 'fear', 'mortal', 'odd', 'couple', 'gets', 'solve', 'bizarre', 'cases', 'come', 'way', 'work', 'methods', 'entirely', 'safe', 'work']",Animation Comedy Drama Mystery  Shy bookstore clerk Kosuke Mikado ability ghosts spirits ability wishes sees usually terrifies Rihito Hiyakawa exorcist supernatural powers strong social graces weak fear mortal odd couple gets solve bizarre cases come way work methods entirely safe work 7.6  Tomoko Yamashita  ,,
Astro Fighter Sunred,"Astro Fighter Sunred is a Japanese manga created by Makoto Kubota. It started serialization on Square Enix's seinen manga magazine Young Gangan on August 25, 2005. An anime adaptation produced by AIC A.S.T.A. aired from October 3, 2008 to March 27, 2009 in Japan. The second season of the anime started airing on October 3, 2009. Each manga chapter and anime episode is referred to as a FIGHT.",34755,https://image.tmdb.org/t/p/w500/iFH1tkrw8kb3ZhVHnBWBU2Xbg2O.jpg,7.6,7,False,[],[],['Makoto Kubota'],[],2008,Comedy Animation,"['Astro', 'Fighter', 'Sunred', 'Japanese', 'manga', 'created', 'Makoto', 'Kubota', 'started', 'serialization', 'Square', 'Enix', 'seinen', 'manga', 'magazine', 'Young', 'Gangan', 'August', 'anime', 'adaptation', 'produced', 'AIC', 'aired', 'October', 'March', 'Japan', 'second', 'season', 'anime', 'started', 'airing', 'October', 'manga', 'chapter', 'anime', 'episode', 'referred', 'FIGHT']",Comedy Animation  Astro Fighter Sunred Japanese manga created Makoto Kubota started serialization Square Enix seinen manga magazine Young Gangan August anime adaptation produced AIC aired October March Japan second season anime started airing October manga chapter anime episode referred FIGHT 7.6  Makoto Kubota  ,,
Ousama Game The Animation,"Kanazawa Nobuaki has transferred to a high school far from where he used to live. Due to an incident at his old school, Nobuaki is afraid of getting close to his new classmates and keeps himself at a distance, but he starts opening up because of a sports day inter-class relay. Then a single text message from someone calling themselves the ""King"" is sent to everyone in class. Nobuaki's classmates think it's a simple prank and don't take it seriously - but Nobuaki knows that a death game is about to begin, and struggles to oppose it...",74183,https://image.tmdb.org/t/p/w500/4U623rLgz8a3gbBMMys6pUlvrin.jpg,7.6,97,False,[],[],[],[],2017,Animation Drama,"['Kanazawa', 'Nobuaki', 'transferred', 'high', 'school', 'far', 'live', 'incident', 'old', 'school', 'Nobuaki', 'afraid', 'getting', 'close', 'new', 'classmates', 'keeps', 'distance', 'starts', 'opening', 'sports', 'day', 'inter', 'class', 'relay', 'single', 'text', 'message', 'calling', 'King', 'sent', 'class', 'Nobuaki', 'classmates', 'think', 'simple', 'prank', 'seriously', 'Nobuaki', 'knows', 'death', 'game', 'begin', 'struggles', 'oppose']",Animation Drama  Kanazawa Nobuaki transferred high school far live incident old school Nobuaki afraid getting close new classmates keeps distance starts opening sports day inter class relay single text message calling King sent class Nobuaki classmates think simple prank seriously Nobuaki knows death game begin struggles oppose 7.6    ,,
Bubble Guppies,"The adventures of seven fish-tailed kids- Molly, Gil, Oona, Deema, Nonny, Goby, and Zooli!",39107,https://image.tmdb.org/t/p/w500/zJ50jTHpOY3wKmuxiONOL77t9DW.jpg,7.6,33,False,[],[],"['Jonny Belt', 'Robert Scull']",[],2011,Animation Family Kids,"['adventures', 'seven', 'fish', 'tailed', 'Molly', 'Gil', 'Oona', 'Deema', 'Nonny', 'Goby', 'Zooli']",Animation Family Kids  adventures seven fish tailed Molly Gil Oona Deema Nonny Goby Zooli 7.6  Jonny Belt Robert Scull  ,,
Harukana Receive,"Oozora Haruka, who's just moved to Okinawa, is generally cheerful and optimistic, but there's one thing she feels insecure about: she's taller than most other girls. Her cousin Higa Kanata also has one hang-up: she had to quit her beach volleyball because she was too short. The mismatched cousins find themselves paired up as a beach volleyball team.",80546,https://image.tmdb.org/t/p/w500/4HLvWlgTNLQMht1oOXAm9N6j5Rq.jpg,7.6,178,False,[],[],[],[],2018,Animation,"['Oozora', 'Haruka', 'moved', 'Okinawa', 'generally', 'cheerful', 'optimistic', 'thing', 'feels', 'insecure', 'taller', 'girls', 'cousin', 'Higa', 'Kanata', 'hang', 'quit', 'beach', 'volleyball', 'short', 'mismatched', 'cousins', 'find', 'paired', 'beach', 'volleyball', 'team']",Animation  Oozora Haruka moved Okinawa generally cheerful optimistic thing feels insecure taller girls cousin Higa Kanata hang quit beach volleyball short mismatched cousins find paired beach volleyball team 7.6    ,,
Marvel's Avengers,"The further adventures of the Marvel Universe's mightiest general membership superhero team. With an all-star roster consisting of Iron Man, Captain America, Thor, Hulk, Hawkeye, Falcon and, occasionally--when she feels like it and only when she feels like it--Black Widow, the Avengers are a team in the truest sense. The Avengers save the world from the biggest threats imaginable--threats no single super hero could withstand.",59427,https://image.tmdb.org/t/p/w500/vchDkX1DtqTy3bIDJ7YqmSbX965.jpg,7.6,597,False,[],[],"['Joe Kelly', 'Duncan Rouleau', 'Steven T. Seagle', 'Joe Casey']",[],2013,Action & Adventure Animation Sci-Fi & Fantasy,"['adventures', 'Marvel', 'Universe', 'mightiest', 'general', 'membership', 'superhero', 'team', 'star', 'roster', 'consisting', 'Iron', 'Man', 'Captain', 'America', 'Thor', 'Hulk', 'Hawkeye', 'Falcon', 'occasionally', 'feels', 'like', 'feels', 'like', 'Black', 'Widow', 'Avengers', 'team', 'truest', 'sense', 'Avengers', 'save', 'world', 'biggest', 'threats', 'imaginable', 'threats', 'single', 'super', 'hero', 'withstand']",Action & Adventure Animation Sci-Fi & Fantasy  adventures Marvel Universe mightiest general membership superhero team star roster consisting Iron Man Captain America Thor Hulk Hawkeye Falcon occasionally feels like feels like Black Widow Avengers team truest sense Avengers save world biggest threats imaginable threats single super hero withstand 7.6  Joe Kelly Duncan Rouleau Steven T. Seagle Joe Casey  ,,
Mobile Suit Gundam: The Witch from Mercury,"A.S. (Ad Stella) 122― An era when a multitude of corporations have entered space and built a huge economic system. A lone girl from the remote planet Mercury transfers to the Asticassia School of Technology, run by the Beneritt Group which dominates the mobile suit industry. Her name is Suletta Mercury. With a scarlet light burning in her pure heart, this girl walks step by step through a new world.",196400,https://image.tmdb.org/t/p/w500/gBkDlMaAVOVMRWWlRUHhkLAhNE3.jpg,7.6,52,False,[],[],[],[],2022,Animation Sci-Fi & Fantasy Action & Adventure,"['Ad', 'Stella', 'era', 'multitude', 'corporations', 'entered', 'space', 'built', 'huge', 'economic', 'system', 'lone', 'girl', 'remote', 'planet', 'Mercury', 'transfers', 'Asticassia', 'School', 'Technology', 'run', 'Beneritt', 'Group', 'dominates', 'mobile', 'suit', 'industry', 'Suletta', 'Mercury', 'scarlet', 'light', 'burning', 'pure', 'heart', 'girl', 'walks', 'step', 'step', 'new', 'world']",Animation Sci-Fi & Fantasy Action & Adventure  Ad Stella era multitude corporations entered space built huge economic system lone girl remote planet Mercury transfers Asticassia School Technology run Beneritt Group dominates mobile suit industry Suletta Mercury scarlet light burning pure heart girl walks step step new world 7.6    ,,
Taboo Tattoo,"Seigi, a martial arts trained middle schooler, often feels driven to protect the weaker people around him. One day, he defends a homeless man against some punks, and the man gives him a strange tattoo on his palm in return. The tattoo is a secret weapon produced in the arms race between America and the Serinistan Kingdom. Seigi finds himself in over his head when a powerful girl, using the same secret weapon, violently pursues him in order to retrieve it. His skill at martial arts may not be enough to keep him alive, but will he be able to learn how to trigger the power of his tattoo in time?",66992,https://image.tmdb.org/t/p/w500/yd050mWaZHyRNMszkVzm3BSnqrZ.jpg,7.599,81,False,[],[],[],[],2016,Animation Mystery Action & Adventure,"['Seigi', 'martial', 'arts', 'trained', 'middle', 'schooler', 'feels', 'driven', 'protect', 'weaker', 'people', 'day', 'defends', 'homeless', 'man', 'punks', 'man', 'gives', 'strange', 'tattoo', 'palm', 'return', 'tattoo', 'secret', 'weapon', 'produced', 'arms', 'race', 'America', 'Serinistan', 'Kingdom', 'Seigi', 'finds', 'head', 'powerful', 'girl', 'secret', 'weapon', 'violently', 'pursues', 'order', 'retrieve', 'skill', 'martial', 'arts', 'alive', 'able', 'learn', 'trigger', 'power', 'tattoo', 'time']",Animation Mystery Action & Adventure  Seigi martial arts trained middle schooler feels driven protect weaker people day defends homeless man punks man gives strange tattoo palm return tattoo secret weapon produced arms race America Serinistan Kingdom Seigi finds head powerful girl secret weapon violently pursues order retrieve skill martial arts alive able learn trigger power tattoo time 7.599    ,,
DuckTales,"Scrooge McDuck finds his hands full at home when nephews Huey, Dewey and Louie move to Duckburg. Joined by their loyal pals Launchpad McQuack, Gyro Gearloose and Mrs. Beakley, the DuckTales gang never fails to deliver a wealth of adventure. Get ready for a fortune of fun with DuckTales!",720,https://image.tmdb.org/t/p/w500/muplnM90daPCQ5Bn1olcwN1EO22.jpg,7.598,583,False,[],[],['Jymn Magon'],[],1987,Family Animation Mystery Sci-Fi & Fantasy,"['Scrooge', 'McDuck', 'finds', 'hands', 'home', 'nephews', 'Huey', 'Dewey', 'Louie', 'Duckburg', 'Joined', 'loyal', 'pals', 'Launchpad', 'McQuack', 'Gyro', 'Gearloose', 'Beakley', 'DuckTales', 'gang', 'fails', 'deliver', 'wealth', 'adventure', 'ready', 'fortune', 'fun', 'DuckTales']",Family Animation Mystery Sci-Fi & Fantasy  Scrooge McDuck finds hands home nephews Huey Dewey Louie Duckburg Joined loyal pals Launchpad McQuack Gyro Gearloose Beakley DuckTales gang fails deliver wealth adventure ready fortune fun DuckTales 7.598  Jymn Magon  ,,
She-Ra: Princess of Power,"She-Ra, He-Man's twin sister, is leading a group of freedom fighters known as the Great Rebellion in the hope of freeing their homeworld of Etheria from the tyrannical rule of Hordak and the Evil Horde.",14755,https://image.tmdb.org/t/p/w500/49ZbBp4eUQnXYRvm6HjNI6sSrdW.jpg,7.595,185,False,[],[],[],[],1985,Action & Adventure Animation Sci-Fi & Fantasy,"['Ra', 'Man', 'twin', 'sister', 'leading', 'group', 'freedom', 'fighters', 'known', 'Great', 'Rebellion', 'hope', 'freeing', 'homeworld', 'Etheria', 'tyrannical', 'rule', 'Hordak', 'Evil', 'Horde']",Action & Adventure Animation Sci-Fi & Fantasy  Ra Man twin sister leading group freedom fighters known Great Rebellion hope freeing homeworld Etheria tyrannical rule Hordak Evil Horde 7.595    ,,
