name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
Upstart Crow,"Comedy about the life and times of William Shakespeare as he starts to make a name for himself in London, whilst also trying to balance life as a husband and father for his family in Stratford-upon-Avon.",66369,https://image.tmdb.org/t/p/w500/aaCefKIYilykJ8e7HA04wyo4RIw.jpg,7.1,37,False,[],[],['Ben Elton'],[],2016,Comedy Drama,"['Comedy', 'life', 'times', 'William', 'Shakespeare', 'starts', 'London', 'whilst', 'trying', 'balance', 'life', 'husband', 'father', 'family', 'Stratford', 'Avon']",Comedy Drama  Comedy life times William Shakespeare starts London whilst trying balance life husband father family Stratford Avon 7.1  Ben Elton  ,,
Mobile Suit Gundam ZZ,"The year is Universal Century 0088. Directly after the end of the  Gryps War, Haman Karn and her army of Zeon remnants on the asteroid Axis  begin their quest of reviving the lost empire of the Zabi's, and  proclaim themselves as the Neo-Zeon. With the Earth Federation as  hapless as ever, only the Anti-Earth Union Group (AEUG) is able oppose  the plans of Neo-Zeon. In need of all the help it can get after being  decimated in the previous war and losing many of its key members, the  AEUG ship Argama enlists the aid of a young junk collector from the Side  1 colony of Shangri-La named Judau Ashta to pilot its newest mobile  suit, the ZZ Gundam.",5660,https://image.tmdb.org/t/p/w500/u7GMUFdfljplCbySERldRUReP6P.jpg,7.1,17,False,[],[],['Yoshiyuki Tomino'],[],1986,Animation War & Politics Action & Adventure Drama Comedy Sci-Fi & Fantasy,"['year', 'Universal', 'Century', 'Directly', 'end', 'Gryps', 'War', 'Haman', 'Karn', 'army', 'Zeon', 'remnants', 'asteroid', 'Axis', 'begin', 'quest', 'reviving', 'lost', 'empire', 'Zabi', 'proclaim', 'Neo', 'Zeon', 'Earth', 'Federation', 'hapless', 'Anti', 'Earth', 'Union', 'Group', 'AEUG', 'able', 'oppose', 'plans', 'Neo', 'Zeon', 'need', 'help', 'decimated', 'previous', 'war', 'losing', 'key', 'members', 'AEUG', 'ship', 'Argama', 'enlists', 'aid', 'young', 'junk', 'collector', 'colony', 'Shangri', 'La', 'named', 'Judau', 'Ashta', 'pilot', 'newest', 'mobile', 'suit', 'ZZ', 'Gundam']",Animation War & Politics Action & Adventure Drama Comedy Sci-Fi & Fantasy  year Universal Century Directly end Gryps War Haman Karn army Zeon remnants asteroid Axis begin quest reviving lost empire Zabi proclaim Neo Zeon Earth Federation hapless Anti Earth Union Group AEUG able oppose plans Neo Zeon need help decimated previous war losing key members AEUG ship Argama enlists aid young junk collector colony Shangri La named Judau Ashta pilot newest mobile suit ZZ Gundam 7.1  Yoshiyuki Tomino  ,,
My Secret Identity,"My Secret Identity was a Canadian television series starring Jerry O'Connell and Derek McGrath. Originally broadcast from October 9, 1988 – May 25, 1991 on CTV in Canada, the series also aired in syndication in the United States. The series won the 1989 International Emmy Award for Outstanding Achievement in Programming for Children and Young People.",2344,https://image.tmdb.org/t/p/w500/9yjDqSqb9zdD7TZzuXpytOgtqNA.jpg,7.1,20,False,[],[],"['Brian Levant', 'Chuck Lorre']",[],1988,Action & Adventure Comedy Family,"['Secret', 'Identity', 'Canadian', 'television', 'series', 'starring', 'Jerry', 'Derek', 'McGrath', 'Originally', 'broadcast', 'October', 'CTV', 'Canada', 'series', 'aired', 'syndication', 'United', 'States', 'series', 'won', 'International', 'Emmy', 'Award', 'Outstanding', 'Achievement', 'Programming', 'Children', 'Young', 'People']",Action & Adventure Comedy Family  Secret Identity Canadian television series starring Jerry Derek McGrath Originally broadcast October CTV Canada series aired syndication United States series won International Emmy Award Outstanding Achievement Programming Children Young People 7.1  Brian Levant Chuck Lorre  ,,
Agent Elvis,Elvis Presley trades in his white jumpsuit for a jet pack when he is covertly inducted into a secret government spy program to help battle the dark forces that threaten the country he loves — all while holding down his day job as the King of Rock & Roll.,110126,https://image.tmdb.org/t/p/w500/9iFMG4zyAkLnvfEwNqIiiEEQ342.jpg,7.1,32,False,[],[],"['Priscilla Presley', 'John Eddie']",[],2023,Animation Comedy Action & Adventure,"['Elvis', 'Presley', 'trades', 'white', 'jumpsuit', 'jet', 'pack', 'covertly', 'inducted', 'secret', 'government', 'spy', 'program', 'help', 'battle', 'dark', 'forces', 'threaten', 'country', 'loves', 'holding', 'day', 'job', 'King', 'Rock', 'Roll']",Animation Comedy Action & Adventure  Elvis Presley trades white jumpsuit jet pack covertly inducted secret government spy program help battle dark forces threaten country loves holding day job King Rock Roll 7.1  Priscilla Presley John Eddie  ,,
Conan,A late night television talk show hosted by  Conan O'Brien.,32415,https://image.tmdb.org/t/p/w500/oQxrvUhP3ycwnlxIrIMQ9Z3kleq.jpg,7.1,202,False,[],[],"[""Conan O'Brien""]",[],2010,Talk Comedy News,"['late', 'night', 'television', 'talk', 'hosted', 'Conan']",Talk Comedy News  late night television talk hosted Conan 7.1  Conan O'Brien  ,,
Crazy like a Fox,"Crazy Like a Fox is an American television series set in San Francisco, California, that aired on CBS from December 30, 1984 to May 3, 1986.",7208,https://image.tmdb.org/t/p/w500/fRtScq8bpj9vlbRB4yq6eMiZLqp.jpg,7.1,7,False,[],[],"['George Schenck', 'Frank Cardea', 'John Baskin', 'Roger Shulman']",[],1984,Comedy Drama,"['Crazy', 'Like', 'Fox', 'American', 'television', 'series', 'set', 'San', 'Francisco', 'California', 'aired', 'CBS', 'December']",Comedy Drama  Crazy Like Fox American television series set San Francisco California aired CBS December 7.1  George Schenck Frank Cardea John Baskin Roger Shulman  ,,
Trailer Park Boys: The Animated Series,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",88071,https://image.tmdb.org/t/p/w500/ncJAzlVu44RN9ZWWsxI5SCFuOP3.jpg,7.1,41,False,[],[],"['Robb Wells', 'John Paul Tremblay', 'Mike Smith']",[],2019,Animation Comedy,"['Nova', 'Scotia', 'favorite', 'miscreants', 'super', 'sketchy', 'carrying', 'Season', 'finale', 'boys', 'complete', 'cartoons']",Animation Comedy  Nova Scotia favorite miscreants super sketchy carrying Season finale boys complete cartoons 7.1  Robb Wells John Paul Tremblay Mike Smith  ,,
The Commish,"Tony Scali is a former Brooklyn cop now the Police Commissioner of a small upstate city. But for Scali, this is no desk job. He's a tough yet compassionate boss, a loving husband and father, and a hands-on law enforcer with an unorthodox style of bending the rules. From parenthood to politics, from sex crimes to murder cases, one man takes it day-to-day with offbeat humor and street- smart skill.",3840,https://image.tmdb.org/t/p/w500/osvVYFdCtz223oOQmMcoM1N4JGP.jpg,7.1,20,False,[],[],"['Stephen J. Cannell', 'Stephen Kronish']",[],1991,Drama Comedy,"['Tony', 'Scali', 'Brooklyn', 'cop', 'Police', 'Commissioner', 'small', 'upstate', 'city', 'Scali', 'desk', 'job', 'tough', 'compassionate', 'boss', 'loving', 'husband', 'father', 'hands', 'law', 'enforcer', 'unorthodox', 'style', 'bending', 'rules', 'parenthood', 'politics', 'sex', 'crimes', 'murder', 'cases', 'man', 'takes', 'day', 'day', 'offbeat', 'humor', 'smart', 'skill']",Drama Comedy  Tony Scali Brooklyn cop Police Commissioner small upstate city Scali desk job tough compassionate boss loving husband father hands law enforcer unorthodox style bending rules parenthood politics sex crimes murder cases man takes day day offbeat humor smart skill 7.1  Stephen J. Cannell Stephen Kronish  ,,
The New Legends of Monkey,Follow a teenage girl and a trio of fallen gods on a perilous journey as they attempt to bring an end to a demonic reign of chaos and restore balance to their world. Inspired by the 16th Century Chinese fable “Journey to the West.”,71577,https://image.tmdb.org/t/p/w500/jwu04xIT0kNV9ZpVZ6wNBGPr0eG.jpg,7.1,171,False,[],[],"['Gerard Johnstone', 'Craig Irvin']",[],2018,Sci-Fi & Fantasy Action & Adventure Comedy,"['Follow', 'teenage', 'girl', 'trio', 'fallen', 'gods', 'perilous', 'journey', 'attempt', 'bring', 'end', 'demonic', 'reign', 'chaos', 'restore', 'balance', 'world', 'Inspired', 'Century', 'Chinese', 'fable', 'Journey', 'West']",Sci-Fi & Fantasy Action & Adventure Comedy  Follow teenage girl trio fallen gods perilous journey attempt bring end demonic reign chaos restore balance world Inspired Century Chinese fable Journey West 7.1  Gerard Johnstone Craig Irvin  ,,
Home with Kids,"Home with Kids, is a sitcom/drama from Mainland China.  Unlike most Chinese multi-camera sitcoms, Home With Kids prominently uses child actors as main roles.",40521,https://image.tmdb.org/t/p/w500/j1DkiHSrHK32xHL8oewZa05z9oM.jpg,7.1,15,False,[],[],['Cong Lin'],[],2005,Kids Comedy Family,"['Home', 'Kids', 'sitcom', 'drama', 'Mainland', 'China', 'Unlike', 'Chinese', 'multi', 'camera', 'sitcoms', 'Home', 'Kids', 'prominently', 'uses', 'child', 'actors', 'main', 'roles']",Kids Comedy Family  Home Kids sitcom drama Mainland China Unlike Chinese multi camera sitcoms Home Kids prominently uses child actors main roles 7.1  Cong Lin  ,,
