name,tvId,userId,rating
Battlestar Galactica,1972,1576,10.0
Battlestar Galactica,1972,1243,6.0
Batman: The Animated Series,2098,1576,10.0
The Mandalorian,82856,1542,10.0
The Mandalorian,82856,923,9.0
The Last of Us,100088,242,1.0
The Last of Us,100088,923,8.0
The Last of Us,100088,412,9.0
The Last of Us,100088,1595,1.0
The Last of Us,100088,1576,1.0
The Last of Us,100088,247,5.0
The Last of Us,100088,248,8.0
The Last of Us,100088,249,8.0
The Last of Us,100088,250,9.0
The Last of Us,100088,728,10.0
The Last of Us,100088,1259,6.0
The Last of Us,100088,1464,8.0
The Last of Us,100088,254,8.0
The Last of Us,100088,1436,7.0
The Wire,1438,1168,10.0
Justified,1436,1576,10.0
Titans,75450,1576,1.0
Titans,75450,1456,5.0
Person of Interest,1411,866,10.0
Person of Interest,1411,1243,7.0
Bob's Burgers,32726,264,10.0
Brooklyn Nine-Nine,48891,1569,2.0
The Last Kingdom,63333,267,9.0
The Last Kingdom,63333,1436,10.0
The Last Kingdom,63333,269,8.0
The Last Kingdom,63333,1217,2.0
"Murder, She Wrote",484,1542,9.0
The Good Wife,1435,1594,8.0
The Wheel of Time,71914,274,4.0
Top Gear,45,1542,9.0
Top Gear,45,1002,9.0
The Late Show with Stephen Colbert,63770,277,2.0
The Big Bang Theory,1418,278,6.0
The Big Bang Theory,1418,1594,10.0
Spider-Man,888,1576,10.0
The West Wing,688,1168,8.0
The West Wing,688,1594,10.0
The West Wing,688,285,1.0
The Owl House,92685,286,7.0
Once Upon a Time,39272,1576,2.0
Special Ops: Lioness,113962,1595,2.0
The Lord of the Rings: The Rings of Power,84773,290,1.0
The Lord of the Rings: The Rings of Power,84773,1595,3.0
The Lord of the Rings: The Rings of Power,84773,413,10.0
The Lord of the Rings: The Rings of Power,84773,758,1.0
The Lord of the Rings: The Rings of Power,84773,1436,1.0
The Lord of the Rings: The Rings of Power,84773,297,1.0
The Lord of the Rings: The Rings of Power,84773,298,1.0
The Lord of the Rings: The Rings of Power,84773,1576,1.0
The Lord of the Rings: The Rings of Power,84773,1352,2.0
The Lord of the Rings: The Rings of Power,84773,301,7.0
Westworld,63247,302,3.0
Westworld,63247,1436,4.0
Westworld,63247,1542,8.0
Westworld,63247,1576,1.0
Westworld,63247,1243,6.0
Glee,1417,312,9.0
This Is Us,67136,1522,7.0
The Walking Dead: Dead City,194583,1595,5.0
Dora the Explorer,79,966,4.0
New Girl,1420,1464,9.0
New Girl,1420,1576,10.0
iCarly,5371,320,10.0
iCarly,5371,1253,8.0
Knight Rider,2384,1576,10.0
What We Do in the Shadows,83631,1595,6.0
Tulsa King,153312,1595,6.0
Gintama,57041,1524,10.0
DC's Legends of Tomorrow,62643,326,10.0
DC's Legends of Tomorrow,62643,1456,8.0
Weeds,186,328,1.0
Hey Arnold!,537,1290,8.0
See,80752,696,9.0
Everybody Loves Raymond,2140,1542,8.0
Twin Peaks,1920,892,10.0
Cold Case,2171,1352,8.0
Invasion,127235,477,8.0
Invasion,127235,1595,3.0
Invasion,127235,338,3.0
Invasion,127235,630,1.0
Tom Clancy's Jack Ryan,73375,340,6.0
Tom Clancy's Jack Ryan,73375,1576,1.0
Magnum P.I.,79593,1542,7.0
Magnum P.I.,79593,1576,1.0
The Expanse,63639,1286,4.0
The Expanse,63639,1436,1.0
The Expanse,63639,347,10.0
Avatar: The Last Airbender,246,348,10.0
White Collar,21510,928,10.0
White Collar,21510,1243,9.0
Manifest,79696,1286,5.0
Ted Lasso,97546,352,9.0
Ted Lasso,97546,424,9.0
Ted Lasso,97546,354,10.0
Secret Invasion,114472,1595,5.0
Perry Mason,4177,1352,8.0
Young Justice,33217,1312,1.0
The Fall of the House of Usher,157065,1595,4.0
House of Cards,1425,361,10.0
House of Cards,1425,740,6.0
House of Cards,1425,364,1.0
The Handmaid's Tale,69478,1595,8.0
The Handmaid's Tale,69478,1576,1.0
Banshee,41727,370,10.0
The Resident,74016,1436,10.0
Beacon 23,112388,1595,6.0
Chainsaw Man,114410,374,9.0
You,78191,938,8.0
You,78191,1436,9.0
You,78191,1436,9.0
You,78191,378,2.0
You,78191,379,8.0
You,78191,381,10.0
You,78191,382,7.0
Saturday Night Live,1667,1576,1.0
Angel,2426,1576,10.0
The Sinner,39852,385,8.0
Star Trek: Discovery,67198,386,9.0
Star Trek: Discovery,67198,1513,1.0
Star Trek: Discovery,67198,391,2.0
Star Trek: Discovery,67198,1286,5.0
Star Trek: Discovery,67198,1576,1.0
